GEO.id,GEO.id2,GEO.display-label,GEO.annotation.id,NAICS.id,NAICS.display-label,NAICS.annotation.id,OPTAX.id,OPTAX.display-label,PRODSVC2012.id,PRODSVC2012.display-label,PRODSVC2012.annotation.id,YEAR.id,ESTAB,TVALLN,RCPTOT,LINE_PCT,LINEALL_PCT,LINE_COV,KB_PCT
Geographic identifier code,Id2,Geographic area name,Id,2012 NAICS code,Meaning of 2012 NAICS code,Id,Type of operation or tax status code,Meaning of Type of operation or tax status code,Products and services code,Meaning of Products and services code,Id,Year,Number of establishments,"Total sales of estabs reporting product line ($1,000)","Sales ($1,000)",Product line sales as % of total sales of estabs reporting line (%),Product line sales as % of total sales of all estabs (%),Response coverage of product lines inquiry (%),Percent of sales accounted for by industry (%)
0100000US,,United States,,423990,Other miscellaneous durable goods merchant wholesalers,,10,"Merchant wholesalers, except manufacturers' sales branches and offices",12220,"Lawn and garden machinery, equipment, and parts",,2012,92,,,,,,
0100000US,,United States,,4239903,General merchandise (durable goods) merchant wholesalers,,00,Wholesale Trade,12220,"Lawn and garden machinery, equipment, and parts",,2012,83,284767,11749,4.1,0.3,,0.1
0100000US,,United States,,4239903,General merchandise (durable goods) merchant wholesalers,,10,"Merchant wholesalers, except manufacturers' sales branches and offices",12220,"Lawn and garden machinery, equipment, and parts",,2012,83,284767,11749,4.1,0.3,,0.1
0100000US,,United States,,4239906,Other durable goods merchant wholesalers,,00,Wholesale Trade,12220,"Lawn and garden machinery, equipment, and parts",,2012,9,12873,611,4.7,,,
0100000US,,United States,,4239906,Other durable goods merchant wholesalers,,10,"Merchant wholesalers, except manufacturers' sales branches and offices",12220,"Lawn and garden machinery, equipment, and parts",,2012,9,,,,,,
0100000US,,United States,,424,"Merchant wholesalers, nondurable goods",,00,Wholesale Trade,12220,"Lawn and garden machinery, equipment, and parts",,2012,264,2216263,156211,7.0,,4.8,1.3
0100000US,,United States,,424,"Merchant wholesalers, nondurable goods",,10,"Merchant wholesalers, except manufacturers' sales branches and offices",12220,"Lawn and garden machinery, equipment, and parts",,2012,257,2124106,150263,7.1,,4.9,1.7
0100000US,,United States,,424,"Merchant wholesalers, nondurable goods",,20,Manufacturers' sales branches and offices,12220,"Lawn and garden machinery, equipment, and parts",,2012,7,92157,5948,6.5,,0.0,0.2
0100000US,,United States,,4246,Chemical and allied products merchant wholesalers,,00,Wholesale Trade,12220,"Lawn and garden machinery, equipment, and parts",,2012,19,158408,16703,10.5,,,0.1
0100000US,,United States,,4246,Chemical and allied products merchant wholesalers,,10,"Merchant wholesalers, except manufacturers' sales branches and offices",12220,"Lawn and garden machinery, equipment, and parts",,2012,14,68204,10870,15.9,,,0.1
0100000US,,United States,,42461,Plastics materials and basic forms and shapes merchant wholesalers,,00,Wholesale Trade,12220,"Lawn and garden machinery, equipment, and parts",,2012,7,56057,10239,18.3,,,0.1
0100000US,,United States,,42461,Plastics materials and basic forms and shapes merchant wholesalers,,10,"Merchant wholesalers, except manufacturers' sales branches and offices",12220,"Lawn and garden machinery, equipment, and parts",,2012,7,56057,10239,18.3,,,0.1
0100000US,,United States,,424610,Plastics materials and basic forms and shapes merchant wholesalers,,00,Wholesale Trade,12220,"Lawn and garden machinery, equipment, and parts",,2012,7,56057,10239,18.3,,,0.1
0100000US,,United States,,424610,Plastics materials and basic forms and shapes merchant wholesalers,,10,"Merchant wholesalers, except manufacturers' sales branches and offices",12220,"Lawn and garden machinery, equipment, and parts",,2012,7,56057,10239,18.3,,,0.1
0100000US,,United States,,42469,Other chemical and allied products merchant wholesalers,,00,Wholesale Trade,12220,"Lawn and garden machinery, equipment, and parts",,2012,12,102351,6464,6.3,,4.2,0.1
0100000US,,United States,,42469,Other chemical and allied products merchant wholesalers,,10,"Merchant wholesalers, except manufacturers' sales branches and offices",12220,"Lawn and garden machinery, equipment, and parts",,2012,7,12147,631,5.2,,33.9,
0100000US,,United States,,424690,Other chemical and allied products merchant wholesalers,,00,Wholesale Trade,12220,"Lawn and garden machinery, equipment, and parts",,2012,12,102351,6464,6.3,,4.2,0.1
0100000US,,United States,,424690,Other chemical and allied products merchant wholesalers,,10,"Merchant wholesalers, except manufacturers' sales branches and offices",12220,"Lawn and garden machinery, equipment, and parts",,2012,7,12147,631,5.2,,33.9,
0100000US,,United States,,4246902,Other chemical and allied products merchant wholesalers,,00,Wholesale Trade,12220,"Lawn and garden machinery, equipment, and parts",,2012,12,102351,6464,6.3,,4.2,0.1
0100000US,,United States,,4246902,Other chemical and allied products merchant wholesalers,,10,"Merchant wholesalers, except manufacturers' sales branches and offices",12220,"Lawn and garden machinery, equipment, and parts",,2012,7,12147,631,5.2,,34.3,
0100000US,,United States,,4249,Miscellaneous nondurable goods merchant wholesalers,,00,Wholesale Trade,12220,"Lawn and garden machinery, equipment, and parts",,2012,240,2042497,139409,6.8,,4.8,1.2
0100000US,,United States,,4249,Miscellaneous nondurable goods merchant wholesalers,,10,"Merchant wholesalers, except manufacturers' sales branches and offices",12220,"Lawn and garden machinery, equipment, and parts",,2012,238,2040544,139294,6.8,0.1,4.9,1.6
0100000US,,United States,,42491,Farm supplies merchant wholesalers,,00,Wholesale Trade,12220,"Lawn and garden machinery, equipment, and parts",,2012,132,1707912,123391,7.2,0.1,5.5,1.1
0100000US,,United States,,42491,Farm supplies merchant wholesalers,,10,"Merchant wholesalers, except manufacturers' sales branches and offices",12220,"Lawn and garden machinery, equipment, and parts",,2012,130,1705959,123276,7.2,0.1,5.4,1.4
0100000US,,United States,,424910,Farm supplies merchant wholesalers,,00,Wholesale Trade,12220,"Lawn and garden machinery, equipment, and parts",,2012,132,1707912,123391,7.2,0.1,5.5,1.1
0100000US,,United States,,424910,Farm supplies merchant wholesalers,,10,"Merchant wholesalers, except manufacturers' sales branches and offices",12220,"Lawn and garden machinery, equipment, and parts",,2012,130,1705959,123276,7.2,0.1,5.4,1.4
0100000US,,United States,,4249101,Farm supplies merchant wholesalers- farm dealers,,00,Wholesale Trade,12220,"Lawn and garden machinery, equipment, and parts",,2012,42,329640,5188,1.6,,,
0100000US,,United States,,4249101,Farm supplies merchant wholesalers- farm dealers,,10,"Merchant wholesalers, except manufacturers' sales branches and offices",12220,"Lawn and garden machinery, equipment, and parts",,2012,40,327687,5073,1.5,,,0.1
0100000US,,United States,,4249102,Farm supplies merchant wholesalers- wholesale distributors,,00,Wholesale Trade,12220,"Lawn and garden machinery, equipment, and parts",,2012,90,1378272,118203,8.6,0.1,6.3,1.0
0100000US,,United States,,4249102,Farm supplies merchant wholesalers- wholesale distributors,,10,"Merchant wholesalers, except manufacturers' sales branches and offices",12220,"Lawn and garden machinery, equipment, and parts",,2012,90,1378272,118203,8.6,0.2,6.0,1.4
0100000US,,United States,,42493,"Flower, nursery stock, and florists' supplies merchant wholesalers",,00,Wholesale Trade,12220,"Lawn and garden machinery, equipment, and parts",,2012,8,25590,1003,3.9,,,
